Local time,Open,High,Low,Close,Volume
06.01.2020 16:15:00.000 GMT-0500,1.11939,1.11955,1.11930,1.11946,344.87999999999994
06.01.2020 16:30:00.000 GMT-0500,1.11946,1.11962,1.11946,1.11961,229.28000000000003
06.01.2020 16:45:00.000 GMT-0500,1.11961,1.11989,1.11960,1.11968,292.82
06.01.2020 17:00:00.000 GMT-0500,1.11960,1.11960,1.11928,1.11960,629.6800000000001
06.01.2020 17:15:00.000 GMT-0500,1.11960,1.11960,1.11951,1.11955,154.41
06.01.2020 17:30:00.000 GMT-0500,1.11955,1.11961,1.11951,1.11955,898.06
06.01.2020 17:45:00.000 GMT-0500,1.11955,1.11959,1.11951,1.11955,658.1599999999999
06.01.2020 18:00:00.000 GMT-0500,1.11955,1.11975,1.11955,1.11957,402.13
06.01.2020 18:15:00.000 GMT-0500,1.11957,1.11957,1.11946,1.11951,711.1500000000001
06.01.2020 18:30:00.000 GMT-0500,1.11951,1.11951,1.11941,1.11942,488.1600000000001
06.01.2020 18:45:00.000 GMT-0500,1.11942,1.11963,1.11942,1.11954,448.65000000000003
06.01.2020 19:00:00.000 GMT-0500,1.11953,1.11954,1.11930,1.11952,734.5600000000001
06.01.2020 19:15:00.000 GMT-0500,1.11953,1.11953,1.11936,1.11937,431.74999999999994
06.01.2020 19:30:00.000 GMT-0500,1.11936,1.11937,1.11915,1.11916,554.41
06.01.2020 19:45:00.000 GMT-0500,1.11917,1.11926,1.11891,1.11897,1108.4099999999999
06.01.2020 20:00:00.000 GMT-0500,1.11897,1.11921,1.11896,1.11918,627.1199999999999
06.01.2020 20:15:00.000 GMT-0500,1.11918,1.11970,1.11918,1.11964,628.3700000000001
06.01.2020 20:30:00.000 GMT-0500,1.11965,1.11970,1.11944,1.11968,854.78
06.01.2020 20:45:00.000 GMT-0500,1.11969,1.11969,1.11933,1.11934,919.9000000000001
06.01.2020 21:00:00.000 GMT-0500,1.11934,1.11934,1.11922,1.11926,761.1499999999999
06.01.2020 21:15:00.000 GMT-0500,1.11927,1.11934,1.11915,1.11918,696.6899999999999
